id,target
1,325618.5469406777
2,126797.87358991368
3,180281.79808355635
4,217353.1161846955
5,128285.89478607824
6,148055.63567748078
7,193725.74247154777
8,120451.22231669405
9,142557.513638754
10,312036.42532256903
11,234373.39432974163
12,120816.18951036484
13,164531.93342238537
14,114304.50956153014
15,108217.64726046125
16,130267.30132673532
17,125016.11098260994
18,194674.2907529383
19,207415.74063392234
20,114348.00802747607
21,150292.88511653207
22,124495.9963872141
23,167583.63671082043
24,250055.43100500628
25,185035.36300628126
26,339386.15525437746
27,139568.5674284623
28,249121.2809459823
29,149189.2122711985
30,54162.81797742174
31,124478.43896604491
32,130626.30345462842
33,175694.22390448063
34,149611.31820864222
35,530852.9563475196
36,135376.5668877418
37,164900.16216772038
38,212860.05142952
39,169121.25644874157
40,473623.2975270065
41,253300.65286491727
42,118881.57743661216
43,107069.72371533778
44,140017.81215847866
45,193807.62419053403
46,168545.61806302523
47,209862.3670696183
48,111215.3609523038
49,161656.58677705648
50,124701.31398159839
51,168220.70541188752
52,234048.0397434958
53,166471.46089316366
54,204306.61232146938
55,216344.056221935
56,124225.84937338647
57,325891.24782651884
58,132020.7846466295
59,114732.34144091442
60,135658.2274881862
61,131648.13036786777
62,250717.43670788498
63,115233.98173742082
64,248693.93612907708
65,217965.84164265805
66,126184.52715192817
67,165148.40610549808
68,198898.48598947813
69,280372.4503542384
70,132005.691512712
71,118871.31145730501
72,244027.9047705948
73,140259.82239446038
74,124704.5490151918
75,209102.52799124582
76,119288.49628198592
77,76111.97592233049
78,139418.937628227
79,171302.66720970414
80,133506.2403456852
81,87650.83778373277
82,199085.73962844026
83,178694.60723690706
84,214068.0449980339
85,135181.7220474678
86,84977.96358554513
87,97068.63741733189
88,150310.0008724304
89,125129.5642088767
90,157160.1697618057
91,129194.72287992538
92,172451.95105793455
93,161407.79776047968
94,123665.60258325706
95,163415.8451997094
96,596532.995105808
97,160208.6017335813
98,152471.9379116374
99,203994.6583111416
100,222975.50994979448
101,221265.74241677416
102,193043.10162248855
103,132554.12314827731
104,197071.024570454
105,329575.60293907893
106,225761.38985878663
107,99238.02187618054
108,144786.39809489565
109,182349.5202353409
110,354176.10847691126
111,131818.75856439362
112,200679.08335211116
113,153219.06644572696
114,126621.77496538541
115,137080.16333200125
116,121949.4224665956
117,206061.77975168693
118,324556.3092610861
119,178950.92914038582
120,196146.1776206506
121,374135.63846646046
122,166712.54313630224
123,91160.60758575759
124,114798.29890419518
125,273264.1382862215
126,255325.2701528711
127,252454.36114010072
128,214408.29649683894
129,309092.53932856483
130,139476.80142217258
131,215909.01337147606
132,147514.70753670635
133,271879.2806871884
134,299394.8040786218
135,194173.31520180922
136,189688.12599858822
137,203563.71788124117
138,146718.54509321885
139,296149.37748140434
140,153186.74874402102
141,183652.70869364694
142,132025.93178249002
143,112948.6725350324
144,164148.8758005318
145,107691.6965053417
146,158432.06530515137
147,189548.948491453
148,56671.647088881116
149,380318.5800104201
150,203229.12584718163
151,118513.68546764253
152,128915.43799805052
153,130302.85400072255
154,179905.65832904243
155,243577.7394883951
156,180671.85300987161
157,145026.09140418537
158,358076.55407395464
159,188565.24562177903
160,183383.83844649163
161,185607.2675636356
162,169960.94390935177
163,119795.24044345025
164,239772.64259822274
165,140870.53149328736
166,137459.98559529815
167,195345.6748335271
168,274040.62734696135
169,436798.0718256803
170,128870.52932293259
171,596424.9146893781
172,266009.0908827037
173,317806.60658769
174,117045.29894488164
175,158461.51792128017
176,132384.0572742774
177,54473.46018598586
178,271904.6234372265
179,126327.89289276174
180,74769.2398601257
181,120340.69420530711
182,116214.80781699195
183,169889.89271117552
184,184726.61049738232
185,177014.28545164966
186,160446.81444650286
187,272193.7889193101
188,244573.1329646774
189,131778.0361259436
190,190406.54902628987
191,333514.03065068845
192,122810.30618449883
193,204411.88344001208
194,142730.66984275542
195,143442.64128542595
196,403428.5455255135
197,307104.73214358685
198,135719.23827715672
199,132441.92455797349
200,189147.55255173304
201,129172.35174334611
202,229603.36393638683
203,156673.84079021408
204,99130.08768219824
205,175526.97848658788
206,179714.98161383084
207,155364.59695071628
208,213549.2204920283
209,227293.5947173649
210,268478.23203525296
211,329952.5392199904
212,165961.33175588938
213,158202.6340789196
214,353112.1954102309
215,146294.0470047733
216,118763.86476136545
217,176630.9358138656
218,179460.52616120008
219,137382.78612833814
220,291225.4880069996
221,229226.15679058924
222,150798.75968565413
223,351726.2155209951
224,181526.96820875624
225,169552.61643091723
226,136819.6796491779
227,124047.46750876617
228,149925.6275838504
229,241511.9671334204
230,118209.70155085655
231,230340.25124625905
232,143425.65837453408
233,169097.05887821232
234,408520.77343639225
235,264923.3453850101
236,99884.85858784291
237,239188.41282722665
238,128537.73769361248
239,142645.51503255893
240,211846.15322114617
241,93659.32378651023
242,243214.96925121488
243,91160.60758575759
244,138949.6649111498
245,116267.7760242524
246,259350.27483644374
247,140969.82023053593
248,139016.0950059891
249,206376.6186778582
250,134350.16197942084
251,276380.6678838057
252,167276.05149801014
253,130500.19588785087
254,143746.55732816632
255,576946.7369269911
256,163174.92041867596
257,130987.65789163022
258,120093.16033705647
259,321555.00836695865
260,195129.05129425775
261,140884.33290755688
262,228973.36983394728
263,166672.8636762341
264,252116.61557652167
265,147079.60896311756
266,121333.32540076198
267,242979.966112794
268,146210.71521787278
269,130106.2857912078
270,206905.7608008303
271,311326.021400461
272,143035.1792309164
273,187205.74807693256
274,91541.69361653681
275,142807.00377180259
276,172580.18210782539
277,137669.4921190946
278,90441.75848122293
279,177032.08811131443
280,188129.00168372202
281,461708.7266087217
282,287867.7364839871
283,152475.27445958584
284,162910.69082745182
285,141808.9689240993
286,153556.47417275872
287,212741.3172104539
288,142844.65707595414
289,138518.54337886279
290,164862.19635264235
291,126690.20033137634
292,251487.44633958317
293,262579.09056783764
294,173029.08248174947
295,178036.7441067755
296,81375.30247880798
297,143182.07167975622
298,160627.46938572085
299,110689.18114816926
300,130454.18509389913
301,80929.86692556315
302,130314.77141982723
303,194172.1773366135
304,256758.1039549293
305,149824.5735131212
306,181475.73395296393
307,169096.29119601502
308,123824.39394453188
309,146235.08486833723
310,268952.9168198489
311,128485.70810865921
312,180042.17400909733
313,142739.25161262954
314,136958.65766439112
315,154402.18004197898
316,121889.35655683042
317,125091.72698223074
318,117404.08135245279
319,168919.30561866198
320,185251.02021237166
321,147785.71824066213
322,188398.9863171614
323,210909.29850142737
324,146909.97739006052
325,171454.60701666778
326,194681.44072199013
327,94497.3886329533
328,93606.00192919596
329,265162.6641629263
330,181286.6340841745
331,219065.32200529054
332,215751.75032364068
333,155537.85887493784
334,152382.17233034063
335,132709.5693328238
336,176259.18534007124
337,161573.15714013652
338,148407.5070999507
339,182659.8400515417
340,341341.26116790954
341,154374.31122899373
342,156199.13582944684
343,171662.7142413874
344,121283.67357173935
345,133897.17649657652
346,133028.8311579225
347,205098.52096751996
348,160811.51801161963
349,170198.82075434393
350,216744.7657143809
351,182251.7870853978
352,253352.2088611375
353,164106.66470020983
354,298482.81059270084
355,89276.20306662687
356,184094.91076719575
357,119839.42344812806
358,182558.80624575386
359,189459.17822982342
360,109455.71422345508
361,124552.27053872337
362,222523.83772335853
363,169063.11779746166
364,141702.68978170774
365,119686.46678450004
366,131009.74927849763
367,173822.05848012445
368,122361.16533846412
369,204514.64233069264
370,130334.67033836676
371,321368.3780703171
372,253581.17266890805
373,145967.19345938286
374,201652.15005291518
375,297777.3046261683
376,310511.20475271594
377,174242.00209532323
378,256727.5632900798
379,394443.24571455125
380,450796.65018127015
381,404659.184708615
382,309708.0674553368
383,141169.40073467913
384,134444.19300159026
385,184202.86717511626
386,122938.4301999208
